Index,Mac Name,Number of macSSID,Frequency,Signal,Lat,Lon,Alt,Time,
230,1c:b9:c4:16:1d:7c,1,Ariel_University,-90.0,32.1036535872341,35.21010138636458,710.6710794188068,Sun Dec 03 09:06:10 IST 2017, Approx. w-center algo1
231,24:79:2a:2b:07:bc,1,Ariel_University,-85.0,32.10369861480585,35.21017541181782,710.7485234469889,Sun Dec 03 09:06:16 IST 2017, Approx. w-center algo1
232,24:79:2a:2c:5c:1c,1,Ariel_University,-84.0,32.103724904733575,35.21020742379761,710.7830608193167,Sun Dec 03 09:06:19 IST 2017, Approx. w-center algo1
233,24:79:2a:ab:07:b7,1, ,-87.0,32.103724904733575,35.21020742379761,710.7830608193167,Sun Dec 03 09:06:19 IST 2017, Approx. w-center algo1
234,24:79:2a:ab:bd:87,1, ,-84.0,32.103724904733575,35.21020742379761,710.7830608193167,Sun Dec 03 09:06:19 IST 2017, Approx. w-center algo1
235,60:e3:27:7b:e0:98,1,HelpDesk,-83.0,32.103724904733575,35.21020742379761,710.7830608193167,Sun Dec 03 09:06:19 IST 2017, Approx. w-center algo1
236,24:79:2a:2b:bd:8c,1,Ariel_University,-83.0,32.103754328139765,35.21024296825823,710.8162814862263,Sun Dec 03 09:06:22 IST 2017, Approx. w-center algo1
237,1c:b9:c4:96:1d:77,1, ,-90.0,32.10381009568773,35.21028362142391,710.9061260906689,Sun Dec 03 09:06:31 IST 2017, Approx. w-center algo1
238,1c:b9:c4:96:e5:a7,1, ,-90.0,32.10381009568773,35.21028362142391,710.9061260906689,Sun Dec 03 09:06:31 IST 2017, Approx. w-center algo1
239,24:79:2a:2b:07:b8,1,Ariel_University,-77.0,32.103804451692376,35.210254888699964,710.9347988784789,Sun Dec 03 09:06:34 IST 2017, Approx. w-center algo1
240,24:79:2a:ac:5c:17,1, ,-85.0,32.103804451692376,35.210254888699964,710.9347988784789,Sun Dec 03 09:06:34 IST 2017, Approx. w-center algo1
241,24:79:2a:2b:bd:88,1,Ariel_University,-72.0,32.103796488351406,35.21022896658198,710.9625734578337,Sun Dec 03 09:06:37 IST 2017, Approx. w-center algo1
242,24:79:2a:2c:5b:d8,1,Ariel_University,-80.0,32.10376657920338,35.21014735283678,711.0143490475475,Sun Dec 03 09:06:43 IST 2017, Approx. w-center algo1
243,1c:b9:c4:16:28:ec,1,Ariel_University,-84.0,32.10374932461536,35.21009736641098,711.04240246276,Sun Dec 03 09:06:46 IST 2017, Approx. w-center algo1
244,1c:b9:c4:96:28:e7,1, ,-85.0,32.10374932461536,35.21009736641098,711.04240246276,Sun Dec 03 09:06:46 IST 2017, Approx. w-center algo1
245,1c:b9:c4:15:1c:bc,1,Ariel_University,-84.0,32.10371197783737,35.21003935734618,711.0753764021061,Sun Dec 03 09:06:49 IST 2017, Approx. w-center algo1
246,8c:0c:90:2e:e8:18,1,Ariel_University,-90.0,32.10366280622974,35.20997695154486,711.1571521241567,Sun Dec 03 09:06:55 IST 2017, Approx. w-center algo1
247,1c:b9:c4:15:fd:48,1,Ariel_University,-71.0,32.103633107895774,35.209948179237934,711.2034653404863,Sun Dec 03 09:06:58 IST 2017, Approx. w-center algo1
248,40:a5:ef:7a:17:f2,1,2.4V1,-93.0,32.103511338353215,35.209857355480956,711.3696457610175,Sun Dec 03 09:07:07 IST 2017, Approx. w-center algo1
249,1c:b9:c4:16:f1:5c,1,Ariel_University,-75.0,32.10347765964358,35.209844645257576,711.4208310564215,Sun Dec 03 09:07:10 IST 2017, Approx. w-center algo1
250,8c:0c:90:2e:16:88,1,Ariel_University,-80.0,32.10343949277716,35.209834157782176,711.4667892140303,Sun Dec 03 09:07:13 IST 2017, Approx. w-center algo1
251,1c:b9:c4:96:f4:77,1, ,-81.0,32.10328866514529,35.20980399820012,711.6736975036425,Sun Dec 03 09:07:25 IST 2017, Approx. w-center algo1
252,1c:b9:c4:95:ec:37,1, ,-78.0,32.10290399031027,35.20969100791368,712.2357761961763,Sun Dec 03 09:08:16 IST 2017, Approx. w-center algo1
253,3c:52:82:ef:c4:3c,1,DIRECT-3B-HP DeskJet 3630 series,-67.0,32.10290399031027,35.20969100791368,712.2357761961763,Sun Dec 03 09:08:16 IST 2017, Approx. w-center algo1
254,1c:b9:c4:15:1e:6c,1,Ariel_University,-83.0,32.10238084673325,35.21000653997084,712.1937426685497,Sun Dec 03 09:08:58 IST 2017, Approx. w-center algo1
255,1c:b9:c4:95:1e:67,1, ,-83.0,32.10238084673325,35.21000653997084,712.1937426685497,Sun Dec 03 09:08:58 IST 2017, Approx. w-center algo1
256,1c:b9:c4:95:3a:37,1, ,-80.0,32.10238084673325,35.21000653997084,712.1937426685497,Sun Dec 03 09:08:58 IST 2017, Approx. w-center algo1
257,40:a5:ef:7a:17:f2,2,2.4V1,-92.0,32.10234668230428,35.21002214095188,712.154305070139,Sun Dec 03 09:08:58 IST 2017, Approx. w-center algo1
258,1c:b9:c4:15:3d:6c,1,Ariel_University,-84.0,32.10246120400514,35.209976991172944,711.9289257491877,Sun Dec 03 09:09:21 IST 2017, Approx. w-center algo1
259,1c:b9:c4:14:2c:3c,1,Ariel_University,-67.0,32.102689713395726,35.209867804165086,711.8977402734589,Sun Dec 03 09:09:37 IST 2017, Approx. w-center algo1
260,30:e1:71:0f:a2:49,1,DIRECT-47-HP DeskJet 3630 series,-79.0,32.102689713395726,35.209867804165086,711.8977402734589,Sun Dec 03 09:09:37 IST 2017, Approx. w-center algo1
261,2a:56:5a:9e:2e:ce,1,DIRECT-ce-HP M426 LaserJet,-77.0,32.10273836386316,35.209856687440386,711.9071836194796,Sun Dec 03 09:09:40 IST 2017, Approx. w-center algo1
262,1c:b9:c4:16:06:bc,1,Ariel_University,-88.0,32.102834572431405,35.209826891474435,711.9395606658123,Sun Dec 03 09:09:46 IST 2017, Approx. w-center algo1
263,1c:b9:c4:12:af:78,1,Ariel_University,-68.0,32.10295813415597,35.2096695193848,712.0551886871242,Sun Dec 03 09:10:00 IST 2017, Approx. w-center algo1
